date,source,url,seg,pos_cnt,neg_cnt,neutral_cnt,total_cnt,fill_source,dict
2020-01-20,Business World,https://www.bworldonline.com/editors-picks/2020/01/20/273954/shares-to-trade-sideways-ahead-of-q4-gdp-data/,HP,0,0,7,7,auto,Correa
2020-01-20,Business World,https://www.bworldonline.com/editors-picks/2020/01/20/273977/t-bills-t-bonds-to-fetch-higher-rates-on-gdp-data/,H,0,0,7,7,auto,Correa
2020-01-20,Business World,https://www.bworldonline.com/editors-picks/2020/01/20/273977/t-bills-t-bonds-to-fetch-higher-rates-on-gdp-data/,F,1,0,263,264,auto,Correa
2020-01-20,Business World,https://www.bworldonline.com/editors-picks/2020/01/20/273977/t-bills-t-bonds-to-fetch-higher-rates-on-gdp-data/,HP,0,0,24,24,auto,Correa
2020-01-20,Business World,https://www.bworldonline.com/editors-picks/2020/01/20/273978/yields-on-government-debt-rise-on-inflation-concerns/,H,0,1,5,6,auto,Correa
2020-01-20,Business World,https://www.bworldonline.com/editors-picks/2020/01/20/273978/yields-on-government-debt-rise-on-inflation-concerns/,F,3,4,436,443,auto,Correa
2020-01-20,Business World,https://www.bworldonline.com/editors-picks/2020/01/20/273978/yields-on-government-debt-rise-on-inflation-concerns/,HP,0,1,7,8,auto,Correa
2020-01-20,Business World,https://www.bworldonline.com/editors-picks/2020/01/20/273979/peso-to-strengthen-anew-ahead-of-q4-gdp-report/,H,0,0,6,6,auto,Correa
2020-01-20,Business World,https://www.bworldonline.com/editors-picks/2020/01/20/273979/peso-to-strengthen-anew-ahead-of-q4-gdp-report/,F,1,4,183,188,auto,Correa
2020-01-20,Business World,https://www.bworldonline.com/editors-picks/2020/01/20/273979/peso-to-strengthen-anew-ahead-of-q4-gdp-report/,HP,0,0,16,16,auto,Correa
2020-01-20,Philippine Star,https://www.philstar.com/business/2020/01/20/1986363/taal-eruptions-impact-economy-likely-small-neda,H,0,0,7,7,auto,Correa
2020-01-20,Philippine Star,https://www.philstar.com/business/2020/01/20/1986363/taal-eruptions-impact-economy-likely-small-neda,F,0,5,215,220,auto,Correa
