dictionary,dv,segment,lag_k,family,add_ar1,beta,se_hac_q4,t,p,q_bh,reject_bh,R2,R2_adj,sample_N,sample_start,sample_end,nw_lag_fixed,nw_lag_auto_suggest,lb_m5_p,lb_m10_p,m_tests,alpha_bh,N,const
LM,d_psei_30d_vol_log,HP_L,5,prediction_k1_5,True,-0.006787039973943296,0.0038151088904895894,-1.7789898450506143,0.07524142685050053,0.5643107013787539,False,0.018396939041167792,-0.016660313135933524,59,2020-01-08,2020-04-17,4,3,0.08825438542045896,0.42230373265707444,15.0,0.05,59,0.020842861617173365
LM,d_psei_30d_vol_log,H_L,1,prediction_k1_5,True,0.010904005884154964,0.008894667941072078,1.2259036488371369,0.22023493553765894,0.6430002812060046,False,0.039463186910465575,0.0051583007286963856,59,2020-01-08,2020-04-17,4,3,0.15862186809374126,0.5520009839659231,15.0,0.05,59,0.021081534106139103
LM,d_psei_30d_vol_log,H_L,2,prediction_k1_5,True,0.004325801566146407,0.004184364807654768,1.033801249411356,0.3012290874338539,0.6430002812060046,False,0.009297151443146912,-0.026085093148169314,59,2020-01-08,2020-04-17,4,3,0.10991851761085486,0.4764393654179212,15.0,0.05,59,0.021693584563673676
LM,d_psei_30d_vol_log,H_L,3,prediction_k1_5,True,-0.0030132778438548774,0.0062497174664740566,-0.4821462506136134,0.6297020562249847,0.7265792956442131,False,0.006992534844891263,-0.02847201748207695,59,2020-01-08,2020-04-17,4,3,0.12699240551633673,0.5244799247057521,15.0,0.05,59,0.021625847704850484
LM,d_psei_30d_vol_log,H_L,4,prediction_k1_5,True,0.0027447692225245194,0.003208546872394905,0.8554555478492307,0.39229900330067624,0.6430002812060046,False,0.006401321337744514,-0.029084345757336205,59,2020-01-08,2020-04-17,4,3,0.11580972136977175,0.48021697949931075,15.0,0.05,59,0.021577367572206536
LM,d_psei_30d_vol_log,H_L,5,prediction_k1_5,True,-0.0007178222937012854,0.0026527714298611744,-0.2705933446135051,0.7867038151568988,0.7867038151568988,False,0.004254750352614023,-0.031307579991935564,59,2020-01-08,2020-04-17,4,3,0.12875467471183955,0.5120872835996535,15.0,0.05,59,0.02153962587496352
LM,d_psei_30d_vol_log,F_L,0,diagnostic_k0,True,-0.016152728903223626,0.012146062787764624,-1.3298736541601885,0.18355990315363868,0.18355990315363868,False,0.07170715165950214,0.03969705344086427,61,2020-01-06,2020-04-17,4,3,0.20312085210873632,0.5001500684988616,1.0,0.05,61,0.021058779927823068
LM,d_psei_30d_vol_log,HP_L,0,diagnostic_k0,True,-0.00537768630331434,0.008688673560267039,-0.6189306418307954,0.5359620513575911,0.5359620513575911,False,0.011951289461852088,-0.022119355729118606,61,2020-01-06,2020-04-17,4,3,0.11550367122067401,0.45870780064979066,1.0,0.05,61,0.02097090394121863
LM,d_psei_30d_vol_log,H_L,0,diagnostic_k0,True,0.0004327791605394734,0.0068044624817774225,0.0636022553873242,0.9492869358411462,0.9492869358411462,False,0.0040790105370668295,-0.03026309254786197,61,2020-01-06,2020-04-17,4,3,0.11417964236805685,0.4794610159177941,1.0,0.05,61,0.021012280674119796
LM,cds_logdiff,F_L,1,prediction_k1_5,True,0.005264238611426258,0.008481462745853348,0.6206757925099635,0.5348129600574665,0.7840591945222288,False,0.015097564830509391,-0.01304250474576163,73,2020-01-08,2020-04-17,4,3,0.16125354271681866,0.43172523163030696,15.0,0.05,73,0.013306242040632828
LM,cds_logdiff,F_L,2,prediction_k1_5,True,-0.013051069160794664,0.01212906022119285,-1.0760165192345907,0.2819198685477651,0.7840591945222288,False,0.024728299529815034,-0.003136606197904346,73,2020-01-08,2020-04-17,4,3,0.23486343554231034,0.5109878822269501,15.0,0.05,73,0.01173573998518858
LM,cds_logdiff,F_L,3,prediction_k1_5,True,-0.013435656748540381,0.017694257672664027,-0.759322996030357,0.4476593645798438,0.7840591945222288,False,0.02627412947431018,-0.0015466096835665688,73,2020-01-08,2020-04-17,4,3,0.28756125702042934,0.59789444264373,15.0,0.05,73,0.012270197589193198
LM,cds_logdiff,F_L,4,prediction_k1_5,True,-0.006701920932653169,0.009334398530054364,-0.7179810151746474,0.47276899272140627,0.7840591945222288,False,0.016654010271233033,-0.011441589435303046,73,2020-01-08,2020-04-17,4,3,0.20649621628808126,0.5415807536958019,15.0,0.05,73,0.01276853906967356
LM,cds_logdiff,F_L,5,prediction_k1_5,True,-0.0045718792951005335,0.009414813866459357,-0.4856048520925127,0.6272473556177831,0.7840591945222288,False,0.015009999596650392,-0.013132571843445184,73,2020-01-08,2020-04-17,4,3,0.23288192307986197,0.548089020544077,15.0,0.05,73,0.012962527912622184
LM,cds_logdiff,HP_L,1,prediction_k1_5,True,0.011153677207815226,0.014547625977944985,0.7667008503466356,0.4432593979552968,0.7840591945222288,False,0.023035818789895912,-0.0048774435303926555,73,2020-01-08,2020-04-17,4,3,0.21357832031552187,0.5195861264706859,15.0,0.05,73,0.01278740450363511
LM,cds_logdiff,HP_L,2,prediction_k1_5,True,-0.008957159702757164,0.007258814776585873,-1.2339700045315243,0.2172140816608359,0.7840591945222288,False,0.019704330819168447,-0.008304116871712397,73,2020-01-08,2020-04-17,4,3,0.1799764853195568,0.46825488519216163,15.0,0.05,73,0.012744790135267622
LM,cds_logdiff,HP_L,3,prediction_k1_5,True,-0.002281292991034055,0.015079546052849021,-0.15128393010232852,0.8797517452996103,0.9425911556781539,False,0.013733943778347024,-0.01444508639941433,73,2020-01-08,2020-04-17,4,3,0.18910301575071226,0.4764836198093213,15.0,0.05,73,0.012910122876786523
LM,cds_logdiff,HP_L,4,prediction_k1_5,True,0.0042889861913410435,0.008403748821390401,0.5103658239313524,0.609795195403042,0.7840591945222288,False,0.014803272080310181,-0.01334520586025234,73,2020-01-08,2020-04-17,4,3,0.17448465122297743,0.4622594128251165,15.0,0.05,73,0.013047741257706127
LM,cds_logdiff,HP_L,5,prediction_k1_5,True,0.005935205199889499,0.008671721705252086,0.6844321579525323,0.4937023153097643,0.7840591945222288,False,0.016169158686314966,-0.011940293922647394,73,2020-01-08,2020-04-17,4,3,0.16412233190400147,0.4499183576219956,15.0,0.05,73,0.013101842613026037
LM,cds_logdiff,H_L,1,prediction_k1_5,True,0.01242592102478132,0.013736199307891519,0.9046112935797723,0.3656713501570307,0.7840591945222288,False,0.025456247866272652,-0.0023878593375479262,73,2020-01-08,2020-04-17,4,3,0.18907534827743264,0.49338905042318537,15.0,0.05,73,0.012357187441702909
